iter	Passed	Remaining
0	4	4374
1	7	3894
2	11	3794
3	15	3788
4	18	3771
5	23	3818
6	26	3790
7	30	3768
8	33	3731
9	37	3707
10	40	3675
11	44	3647
12	47	3642
13	51	3637
14	56	3695
15	60	3697
16	63	3680
17	67	3672
18	70	3655
19	74	3649
20	78	3641
21	81	3640
22	85	3633
23	89	3622
24	92	3604
25	95	3560
26	97	3522
27	100	3483
28	102	3433
29	104	3382
30	106	3333
31	108	3289
32	110	3244
33	112	3197
34	114	3151
35	116	3106
36	117	3065
37	119	3024
38	121	2985
39	122	2948
40	124	2913
41	126	2880
42	127	2844
43	129	2812
44	131	2785
45	132	2756
46	134	2728
47	136	2702
48	137	2676
49	139	2652
50	141	2623
51	142	2597
52	143	2571
53	145	2548
54	147	2526
55	148	2505
56	150	2484
57	151	2460
58	152	2439
59	154	2417
60	155	2396
61	157	2375
62	159	2367
63	160	2348
64	161	2329
65	163	2311
66	164	2295
67	166	2277
68	167	2260
69	169	2246
70	170	2231
71	172	2217
72	173	2203
73	174	2188
74	176	2174
75	177	2160
76	179	2146
77	180	2132
78	181	2119
79	183	2106
80	184	2094
81	186	2084
82	187	2073
83	189	2064
84	190	2054
85	192	2045
86	193	2035
87	195	2026
88	197	2017
89	198	2007
90	199	1996
91	201	1989
92	203	1980
93	204	1973
94	206	1966
95	208	1959
96	209	1950
97	211	1942
98	212	1933
99	213	1924
100	215	1915
101	216	1907
102	218	1899
103	219	1892
104	221	1887
105	223	1881
106	224	1874
107	226	1868
108	227	1862
109	229	1856
110	230	1849
111	232	1843
112	234	1837
113	235	1831
114	237	1826
115	239	1822
116	240	1816
117	242	1811
118	243	1804
119	245	1797
120	246	1790
121	247	1783
122	249	1777
123	250	1772
124	252	1767
125	254	1762
126	255	1757
127	257	1753
128	258	1747
129	260	1742
130	261	1737
131	263	1732
132	265	1730
133	267	1726
134	269	1723
135	271	1722
136	273	1720
137	274	1716
138	276	1713
139	278	1708
140	279	1705
141	282	1704
142	283	1700
143	285	1698
144	287	1698
145	289	1693
146	291	1689
147	292	1686
148	294	1683
149	296	1681
150	298	1678
151	300	1675
152	302	1672
153	304	1670
154	305	1666
155	307	1661
156	308	1656
157	310	1653
158	312	1650
159	313	1647
160	315	1645
161	317	1643
162	319	1640
163	321	1637
164	322	1634
165	324	1631
166	326	1628
167	328	1625
168	330	1623
169	332	1621
170	334	1621
171	336	1618
172	338	1615
173	339	1612
174	341	1609
175	343	1606
176	344	1603
177	346	1599
178	347	1595
179	358	1633
180	360	1630
181	362	1627
182	363	1623
183	365	1620
184	367	1617
185	368	1613
186	370	1608
187	371	1604
188	372	1600
189	374	1596
190	375	1591
191	377	1590
192	379	1587
193	381	1584
194	383	1582
195	385	1579
196	386	1576
197	388	1572
198	389	1569
199	391	1566
200	393	1564
201	395	1561
202	397	1559
203	399	1560
204	401	1558
205	403	1555
206	405	1552
207	407	1550
208	409	1548
209	411	1546
210	412	1542
211	414	1540
212	416	1538
213	418	1535
214	419	1532
215	421	1529
216	423	1526
217	424	1523
218	426	1521
219	428	1518
220	430	1516
221	432	1514
222	433	1511
223	435	1509
224	437	1506
225	438	1502
226	440	1498
227	441	1496
228	443	1493
229	445	1490
230	446	1487
231	448	1484
232	450	1481
233	451	1478
234	453	1475
235	454	1472
236	456	1468
237	457	1464
238	458	1461
239	460	1457
240	461	1453
241	463	1450
242	464	1446
243	465	1443
244	467	1439
245	468	1436
246	469	1432
247	471	1428
248	472	1425
249	474	1422
250	475	1418
251	476	1415
252	478	1411
253	479	1408
254	480	1404
255	482	1401
256	483	1398
257	484	1394
258	486	1391
259	487	1388
260	489	1384
261	490	1381
262	491	1378
263	493	1374
264	494	1371
265	495	1368
266	497	1365
267	498	1361
268	499	1358
269	501	1355
270	502	1352
271	504	1349
272	505	1346
273	506	1342
274	508	1339
275	509	1336
276	510	1333
277	512	1330
278	513	1327
279	515	1324
280	516	1321
281	517	1318
282	519	1315
283	520	1312
284	521	1309
285	523	1306
286	524	1303
287	526	1300
288	527	1297
289	528	1294
290	530	1291
291	531	1288
292	532	1285
293	534	1283
294	535	1280
295	537	1277
296	538	1274
297	539	1271
298	541	1268
299	542	1266
300	544	1263
301	545	1260
302	546	1257
303	548	1254
304	549	1251
305	550	1249
306	552	1246
307	553	1244
308	555	1241
309	556	1239
310	558	1236
311	559	1233
312	560	1231
313	562	1228
314	563	1225
315	565	1223
316	566	1220
317	567	1217
318	569	1215
319	570	1212
320	572	1209
321	573	1207
322	574	1204
323	576	1202
324	577	1199
325	578	1196
326	580	1194
327	581	1191
328	583	1189
329	584	1186
330	585	1184
331	587	1181
332	588	1178
333	589	1176
334	591	1173
335	592	1171
336	594	1168
337	595	1166
338	596	1163
339	598	1161
340	599	1158
341	600	1156
342	602	1153
343	603	1151
344	604	1148
345	606	1146
346	607	1143
347	609	1141
348	610	1138
349	611	1136
350	613	1133
351	614	1131
352	616	1129
353	617	1127
354	619	1124
355	620	1123
356	622	1120
357	623	1118
358	624	1115
359	626	1113
360	627	1111
361	629	1108
362	630	1106
363	631	1103
364	633	1101
365	634	1099
366	635	1096
367	637	1094
368	638	1092
369	640	1090
370	641	1087
371	642	1085
372	644	1083
373	645	1080
374	647	1078
375	648	1076
376	649	1074
377	651	1071
378	652	1069
379	654	1067
380	655	1064
381	656	1062
382	658	1060
383	659	1057
384	660	1055
385	662	1053
386	663	1051
387	664	1048
388	666	1046
389	667	1044
390	669	1041
391	670	1039
392	671	1037
393	673	1035
394	674	1032
395	675	1030
396	677	1028
397	678	1026
398	679	1024
399	681	1021
400	682	1019
401	684	1017
402	685	1015
403	686	1013
404	688	1011
405	689	1008
406	690	1006
407	692	1004
408	693	1002
409	694	1000
410	696	997
411	697	995
412	699	993
413	700	991
414	701	989
415	703	987
416	704	984
417	705	982
418	707	980
419	708	978
420	709	976
421	711	974
422	712	972
423	714	970
424	715	967
425	716	965
426	718	963
427	719	961
428	720	959
429	722	957
430	723	955
431	724	953
432	726	951
433	727	948
434	729	946
435	730	944
436	731	942
437	733	940
438	734	938
439	735	936
440	737	934
441	738	932
442	739	930
443	741	929
444	743	926
445	744	924
446	745	922
447	747	920
448	748	918
449	750	916
450	751	914
451	752	912
452	754	910
453	755	908
454	756	906
455	758	904
456	759	902
457	761	900
458	762	898
459	763	896
460	765	894
461	766	893
462	768	891
463	770	889
464	771	887
465	773	885
466	774	883
467	775	881
468	777	879
469	778	877
470	780	876
471	781	874
472	782	872
473	784	870
474	785	868
475	786	866
476	788	864
477	789	862
478	790	860
479	792	858
480	793	856
481	795	854
482	796	852
483	797	850
484	799	848
485	800	846
486	801	844
487	803	842
488	804	840
489	806	838
490	807	836
491	808	835
492	810	833
493	811	831
494	812	829
495	814	827
496	815	825
497	816	823
498	818	821
499	819	819
500	821	817
501	822	815
502	823	814
503	825	812
504	826	810
505	827	808
506	829	806
507	830	804
508	832	802
509	833	800
510	834	798
511	836	796
512	837	795
513	838	793
514	840	791
515	841	789
516	843	787
517	844	785
518	845	783
519	847	782
520	848	780
521	850	778
522	851	776
523	852	774
524	854	772
525	855	770
526	857	769
527	858	767
528	859	765
529	861	763
530	862	761
531	863	759
532	865	758
533	866	756
534	867	754
535	869	752
536	870	750
537	872	748
538	873	747
539	874	745
540	876	743
541	877	741
542	878	739
543	880	737
544	881	736
545	883	734
546	884	732
547	885	730
548	887	728
549	888	727
550	889	725
551	891	723
552	892	721
553	894	719
554	895	718
555	896	716
556	898	714
557	899	712
558	901	710
559	902	709
560	903	707
561	905	705
562	906	703
563	907	701
564	909	700
565	910	698
566	912	696
567	913	694
568	914	692
569	916	691
570	917	689
571	918	687
572	920	685
573	921	684
574	922	682
575	924	680
576	925	678
577	927	676
578	928	675
579	929	673
580	931	671
581	932	669
582	933	668
583	935	666
584	936	664
585	938	662
586	939	660
587	940	659
588	942	657
589	943	655
590	944	653
591	946	652
592	947	650
593	949	648
594	950	646
595	951	645
596	953	643
597	954	641
598	955	639
599	957	638
600	958	636
601	960	634
602	961	632
603	962	631
604	964	629
605	965	627
606	966	626
607	968	624
608	969	622
609	971	620
610	972	619
611	973	617
612	975	615
613	976	614
614	978	612
615	979	610
616	980	608
617	982	607
618	983	605
619	984	603
620	986	601
621	987	600
622	989	598
623	990	596
624	991	595
625	993	593
626	994	591
627	996	589
628	997	588
629	998	586
630	1000	584
631	1001	583
632	1002	581
633	1004	579
634	1005	578
635	1007	576
636	1008	574
637	1009	572
638	1011	571
639	1012	569
640	1013	567
641	1015	566
642	1016	564
643	1018	562
644	1019	561
645	1020	559
646	1022	557
647	1023	556
648	1024	554
649	1026	552
650	1027	550
651	1028	549
652	1030	547
653	1031	545
654	1033	544
655	1034	542
656	1035	540
657	1037	539
658	1038	537
659	1039	535
660	1041	534
661	1042	532
662	1044	530
663	1045	528
664	1046	527
665	1048	525
666	1049	523
667	1050	522
668	1052	520
669	1053	518
670	1054	517
671	1056	515
672	1057	513
673	1059	512
674	1060	510
675	1061	508
676	1063	507
677	1064	505
678	1065	503
679	1067	502
680	1068	500
681	1069	498
682	1071	497
683	1072	495
684	1073	493
685	1075	492
686	1076	490
687	1078	488
688	1079	487
689	1080	485
690	1082	484
691	1083	482
692	1085	480
693	1086	479
694	1087	477
695	1089	475
696	1090	474
697	1091	472
698	1093	470
699	1094	469
700	1096	467
701	1097	465
702	1098	464
703	1100	462
704	1101	461
705	1103	459
706	1104	457
707	1106	456
708	1107	454
709	1109	453
710	1111	451
711	1112	450
712	1114	448
713	1115	446
714	1116	445
715	1118	443
716	1119	441
717	1120	440
718	1122	438
719	1123	436
720	1124	435
721	1126	433
722	1127	432
723	1129	430
724	1130	428
725	1131	427
726	1133	425
727	1134	423
728	1135	422
729	1137	420
730	1138	419
731	1140	417
732	1141	415
733	1142	414
734	1144	412
735	1145	410
736	1146	409
737	1148	407
738	1149	405
739	1150	404
740	1152	402
741	1153	401
742	1154	399
743	1156	397
744	1157	396
745	1159	394
746	1160	393
747	1161	391
748	1163	389
749	1164	388
750	1166	386
751	1167	385
752	1169	383
753	1170	381
754	1171	380
755	1173	378
756	1174	377
757	1176	375
758	1177	373
759	1178	372
760	1180	370
761	1181	369
762	1182	367
763	1184	365
764	1185	364
765	1187	362
766	1188	361
767	1189	359
768	1191	357
769	1192	356
770	1193	354
771	1195	352
772	1196	351
773	1197	349
774	1199	348
775	1200	346
776	1202	345
777	1203	343
778	1204	341
779	1206	340
780	1207	338
781	1208	336
782	1210	335
783	1211	333
784	1213	332
785	1214	330
786	1215	329
787	1217	327
788	1218	325
789	1220	324
790	1221	322
791	1223	321
792	1224	319
793	1225	318
794	1227	316
795	1228	314
796	1229	313
797	1231	311
798	1232	310
799	1234	308
800	1235	306
801	1236	305
802	1238	303
803	1239	302
804	1241	300
805	1242	299
806	1243	297
807	1245	295
808	1246	294
809	1248	292
810	1249	291
811	1250	289
812	1252	288
813	1253	286
814	1254	284
815	1256	283
816	1257	281
817	1259	280
818	1260	278
819	1261	276
820	1263	275
821	1264	273
822	1265	272
823	1267	270
824	1268	269
825	1270	267
826	1271	265
827	1272	264
828	1274	262
829	1275	261
830	1276	259
831	1278	258
832	1279	256
833	1280	254
834	1282	253
835	1283	251
836	1285	250
837	1286	248
838	1288	247
839	1289	245
840	1291	244
841	1292	242
842	1293	240
843	1295	239
844	1296	237
845	1297	236
846	1299	234
847	1300	233
848	1302	231
849	1303	230
850	1304	228
851	1306	226
852	1307	225
853	1308	223
854	1310	222
855	1311	220
856	1312	219
857	1314	217
858	1315	215
859	1317	214
860	1318	212
861	1319	211
862	1321	209
863	1322	208
864	1324	206
865	1326	205
866	1327	203
867	1329	202
868	1330	200
869	1332	199
870	1333	197
871	1335	195
872	1336	194
873	1338	192
874	1339	191
875	1342	189
876	1343	188
877	1345	186
878	1347	185
879	1348	183
880	1350	182
881	1351	180
882	1353	179
883	1355	177
884	1356	176
885	1358	174
886	1360	173
887	1362	171
888	1363	170
889	1365	168
890	1366	167
891	1368	165
892	1370	164
893	1371	162
894	1373	161
895	1375	159
896	1377	158
897	1378	156
898	1383	155
899	1385	153
900	1387	152
901	1389	150
902	1395	149
903	1396	148
904	1398	146
905	1400	145
906	1402	143
907	1403	142
908	1405	140
909	1406	139
910	1408	137
911	1410	136
912	1411	134
913	1413	132
914	1415	131
915	1417	129
916	1418	128
917	1420	126
918	1422	125
919	1424	123
920	1425	122
921	1427	120
922	1429	119
923	1430	117
924	1432	116
925	1434	114
926	1436	113
927	1438	111
928	1440	110
929	1442	108
930	1443	106
931	1445	105
932	1446	103
933	1448	102
934	1450	100
935	1451	99
936	1453	97
937	1455	96
938	1457	94
939	1458	93
940	1460	91
941	1462	90
942	1463	88
943	1465	86
944	1467	85
945	1469	83
946	1471	82
947	1473	80
948	1475	79
949	1476	77
950	1478	76
951	1480	74
952	1481	73
953	1483	71
954	1485	70
955	1487	68
956	1489	66
957	1490	65
958	1492	63
959	1494	62
960	1495	60
961	1498	59
962	1499	57
963	1501	56
964	1503	54
965	1505	52
966	1506	51
967	1508	49
968	1510	48
969	1511	46
970	1513	45
971	1515	43
972	1517	42
973	1518	40
974	1520	38
975	1522	37
976	1523	35
977	1525	34
978	1527	32
979	1529	31
980	1530	29
981	1532	28
982	1534	26
983	1536	24
984	1537	23
985	1539	21
986	1541	20
987	1542	18
988	1544	17
989	1546	15
990	1548	14
991	1549	12
992	1551	10
993	1553	9
994	1554	7
995	1555	6
996	1557	4
997	1558	3
998	1560	1
999	1561	0
